sentence,transcript,wer,levenshtein,ser
i dont understand shakespeares sonnets at all but i follow his tragedies he said,i dont understand shakespeares sonnet at all but i follow his tragedies he said,0.07142857142857142,1,1
a wink is as good as a nod to a blind man,a wink is as good as a nod to a blind man,0.0,0,0
remember to take your full course of antibiotics stopping early is dangerous for your health,remember to take your full course of antibiotics stopping early is dangerous for your health,0.0,0,0
im afraid it is important,im afraid it is important,0.0,0,0
your crew will do the mop up job,your crew will do the mop up job,0.0,0,0
he gave the door handle an apologetic rattle,he gave the door handle an apologetic rattle,0.0,0,0
to my satisfaction i have been mentioned in the credits for my proficiency,to my satisfaction i have been mentioned in the credits for my proficiency,0.0,0,0
simon was born in stockholm to an american father and a norwegian mother,simon was one has spoken to an american father and a norwegian mother,0.23076923076923078,12,1
the following month packer unexpectedly resigned from the board,the following month packer unexpectedly resigned from the board,0.0,0,0
she together with yan go live in an orphanage since yan was running it,she together with ryan go live in an orphanage since yen was running it okay,0.21428571428571427,7,1
gibson has resided with his family in summit new jersey,gibson has resided with his family in summit new jersey,0.0,0,0
the heat experiment was then aborted,the heat experiment is then a body,0.5,7,1
it was also equipped with a deactivating liquid tank and underbelly spraying apparatus,it was also equipped with a deactivating liquid tank and underbelly spraying apparatus,0.0,0,0
the ashtray was empty,the ashtray was empty,0.0,0,0
because ive always heard about them the boy answered saying nothing about his dream,because ive always heard about them the boy answered saying nothing about history,0.14285714285714285,5,1
the diploma is awarded upon successful completion of a course which includes four units,the diploma is awarded upon successful completion of the course which includes four units,0.07142857142857142,3,1
a new limit to the number of pets allowed per owner was also added,a new limit to the number of pets allowed pet owner was also added,0.07142857142857142,1,1
we are only servants,we are all my servants,0.5,4,1
marin has been slightly more competitive when voting for governor,marron has been slightly more competitive when voting for governor,0.1,2,1
dwayne won the silver ermita award in colombia as a vocal soloist,dwayne won the silver a meter award in colombia as a vocal soloist,0.16666666666666666,5,1
this has not stopped fans from creating a set of rules for dragon poker,this has not stopped fans from creating a set of rules that dragon poker,0.07142857142857142,4,1
the episodes are viewed in the same way as the comics are released,the episodes are veered in the same way as the comics are released,0.07692307692307693,2,1
mountain pointe is a part of the tempe union high school district,mountain point is a part of the temp union high school district,0.16666666666666666,2,1
this term applies to opposite points on a circle or any nsphere,this term applies to officer points on a circle or any atmosphere,0.16666666666666666,10,1
today there are attempts to develop the work of local artisans especially in ceramics,today there was attempts to develop the work of local artisans especially in ceramics,0.07142857142857142,3,1
the mayor is elected for fouryear terms,the mayor is elected for four year terms,0.2857142857142857,1,1
the phone call got interrupted due to unknown reasons,the phone call got interrupted due to unknown reasons,0.0,0,0
he played legion baseball in oxford pennsylvania,he played legion baseball in oxford pennsylvania,0.0,0,0
the band also played for aitken on his single rudi got married,the shadows at like the item and a single greedy but married,0.75,30,1
eccos name was suggested by halperns initial backer ketchup heiress drue heinz,echoes name was suggested by halperns initial backer ketchup heiress drew hinds,0.25,7,1
for this he was named a disney legend,for this he was named disney legend,0.125,2,1
the monday to friday offpeak service is two trains per hour each way,the monday to friday of peak services two trains per hour each way,0.23076923076923078,3,1
will you marry me,will you marry me,0.0,0,0
roberts media is wholly owned by veteran broadcaster larry roberts,roberts media is wholly owned by veteran broadcaster larry roberts,0.0,0,0
can maths explain everything,can mats explain everything,0.25,1,1
i didnt find the blowdryer so i just used the vacuumcleaner,i didnt find the blow dryer so i just used the vacuum,0.2727272727272727,8,1
dwelly was nonetheless eager to express his gratitude to those who assisted him,well he was nonetheless eager to express his gratitude to those who assisted him,0.15384615384615385,4,1
the stadium has since been heavily damaged by looters,the stadium has since been heavily damaged by looters,0.0,0,0
in the early history of islam hanafi doctrine was not fully compiled,in the early history of esteban hanafi doctrine was not fully compliant,0.16666666666666666,9,1
i think a sequential model can solve this problem,i think as a conventional model can solve this problem,0.2222222222222222,9,1
during the early period of ottoman rule berat fell into severe decline,during the early period of ottoman rule borat fell into severe decline,0.08333333333333333,1,1
did you hear anything,did you hear anything,0.0,0,0
all seven seasons are also currently available through a canadian subscription to netflix,all seven seasons are also currently available through canadian subscription to netflix,0.07692307692307693,2,1
it is located in a valley in pok fu lam,okay it is located in a valley in poland,0.4,12,1
esther deans wrote the books nodig gardening and leaves of life,a sardines wrote the books no dig gardening and leaves of life,0.36363636363636365,10,1
have you ever been to singapore,have you ever been to singapore,0.0,0,0
the story is written with extraordinary language and a brilliant style,the story is written with extraordinary language and a brilliant style,0.0,0,0
he was my brother,he was my brother,0.0,0,0
it has a cascading effect,it has a cascading effect,0.0,0,0
however jurymen would have done just as well,however jury men would have done just as well,0.25,1,1
but the title is also a rather obscure nod to the beatles revolver,yeah but the titles also rather obscure not to the beatles revolver,0.38461538461538464,10,1
for a lefthanded percussionist the legs and hands are switched,for a left handed percussionist the legs and hands are switched,0.2,1,1
soon after this rediscovery boubacars wife died during childbirth,soon after this rediscovery boubacar his wife died during childbirth okay,0.3333333333333333,8,1
did you rewind the cassette,did you rewind the cassette,0.0,0,0
he secured the support of arnaud montebourg who placed third soon thereafter,he secured the support of honor montebello who plays good soon thereafter,0.3333333333333333,16,1
george was the chairman of the society of black engineers publications committee,george was the chairman of the society of black engineers publications committee,0.0,0,0
over threequarters of these deaths occurred in subsaharan africa,over three quarters of these death occurred in sub saharan africa,0.5555555555555556,3,1
my daughter is hoping to volunteer at a nature reserve,my daughter is hoping to volunteer the nature reserve,0.2,3,1
murrysville is within the franklin regional school district,murrysville is within the franklin regional school district,0.0,0,0
there are many variants of the puzzle,there are many variants of the puzzle,0.0,0,0
the unusual strategy worked and the yellow jackets upset notre dame,the unusual strategy worked and the yellowjackets upset notre dam,0.2727272727272727,2,1
it is named for the portuguese explorer vasco da gama,mhm it is named for the portuguese explorer vasco da gama,0.1,4,1
the skeleton comes magically to life and becomes terrybubble a live dinosaur skeleton,the skeleton comes magically to life and becomes terry bubble a live dinosaur skeleton,0.15384615384615385,1,1
back to our original plan i think,back to our original plan i think,0.0,0,0
trockel is notable for her work as a conceptual artist,chaka was notable for her work as a conceptual artist,0.2,8,1
larue refused to testify against nixon or any other watergate figure,laura refused to testify against nixon or any other watergate figure,0.09090909090909091,3,1
the local council looks after municipal needs,the local council looks after municipal needs,0.0,0,0
the mother sat in the courtroom,the mother sat in the courtroom,0.0,0,0
the young girl introduces herself as laureline and offers to act as his guide,the young girl introduces herself as laura lean an office to act as his guide,0.2857142857142857,9,1
counsell was born in south bend indiana,council was born in south bend indiana,0.14285714285714285,3,1
i wanted the doll but the auction became too expensive,i wanted the dull but the auction became too expensive,0.1,1,1
almost every asset class is managed both internally and externally,almost every asset class is managed both internally and externally,0.0,0,0
legs hairy with spurs absent on tibia,legs harry with spurs absent on tibia,0.14285714285714285,1,1
early on it was a major opponent of a perceived americanizing of the church,early on it was major opponent of a perceived americanizing of the church,0.07142857142857142,2,1
the first baron also represented tamworth in parliament as a conservative,the first barham also represented to morph into parliament as a conservative,0.36363636363636365,9,1
the corrections divisions has its offices in gibson hall,the corrections divisions has its offices in gibson hall,0.0,0,0
cable was born in new milford connecticut where his father was a farmer,cable was born in new milford connecticut where his father was a farmer,0.0,0,0
he was expelled from the latter for gross studied and sustained insolence,he was expelled from the latter for gross studied and sustained insolence,0.0,0,0
the men were terrified at his sorcery,the men were terrified at his sorcery,0.0,0,0
a unique feature of this pistol model is the unloading device,a unique feature of this pistol model is the unloading device,0.0,0,0
i saw a ford focus for sale,i saw a ford focus for sale,0.0,0,0
in china he passed the civilservice examination,in china he passed the civil service examination,0.2857142857142857,1,1
some examples of the music played for the dancers have survived,some examples of the music played for the dancers have survived,0.0,0,0
i looked in the mirror,i looked in the mirror,0.0,0,0
during winters gauchos wore heavy wool ponchos to protect against cold,during winters grew to more heavy wall pointers to protect against cold,0.45454545454545453,13,1
several prostaglandin e synthases have been identified,several prostaglandin e synthesis have been identified,0.14285714285714285,2,1
i wonder whats eating that old money grubbing buzzard anyway,i wonder whats eating that old money grubbing buzzard anyway,0.0,0,0
mongolians traditionally were afraid of misfortunes and believe in good and bad omens,mongolians traditionally were afraid of misfortunes and believed in good and bad omens,0.07692307692307693,1,1
at the northwestern periphery of the town the drift consists of recently blown sand,at the northwestern periphery of the town of the drift consists of recently blown sand,0.07142857142857142,3,1
he was buried at oak hill cemetery in his hometown of jasper alabama,he was buried at o neill cemetery in his own town of jasper alabama,0.3076923076923077,8,1
he enjoyed sailing owning two boats at salcombe in devon,he enjoyed sailing owning two boats at salle comb in devon,0.2,4,1
cox continued fraziers policies and made few administrative changes,cox continued fraziers policies and made a few administrative changes mhm,0.2222222222222222,6,1
for example colombia chile argentina and venezuela,for example colombia chile argentina and venezuela,0.0,0,0
it is predicted to increase in a stable growth rate in the coming years,it is predicted to increase in a stable growth rate in the coming years,0.0,0,0
oh behave,oh behave,0.0,0,0
it was so good of her and so encouraging to me,it was so good of her and so encouraging to me,0.0,0,0
a total of six games were released in jcart format,a total of six games were released in j card format,0.2,2,1
at the time many units served as both ambulances and funeral vehicles called combinations,at the time many units served as both ambulances and funeral vehicles called combinations,0.0,0,0
he also invented many other related inventions,he also invented many other related inventions,0.0,0,0
we didnt steal it,we didnt steal it,0.0,0,0
it was also the last album released by james william guercios caribou records,it was also the last album released by james william garcias caribou records,0.07692307692307693,3,1
the album was recorded at randys in kingston jamaica,the album was recorded randys in kingston jamaica,0.1111111111111111,3,1
it simulates an opensided safari ride through the savanna of east africa,it stimulates an open sided so fire ride through the savanna of east africa,0.4166666666666667,6,1
both families had only ocular features,both families had only ocular features,0.0,0,0
the increase in incarceration led to prison overcrowding,the increase in incarceration led to prison overcrowding,0.0,0,0
i think they perceived that nothing was to be done at the moment,okay i think they perceived that nothing was to be done at the moment,0.07692307692307693,5,1
they are nicknamed constitution or the constitutes,they are nicknamed constitution or the constitutes,0.0,0,0
despite these divergences in opinions people can agree on some common views,despite these divergences and opinions people can agree on some common views,0.08333333333333333,2,1
whats in it for me,whats in it for me,0.0,0,0
the southern part of the county drains into the canadian river,the southern part of the county drains into the canadian river,0.0,0,0
the gate attendant simply scans the code displayed on the phone,the gate attendant simply scans the code displayed on the phone,0.0,0,0
the jewel box cluster is one of the youngest known open clusters,the jewel box cluster is one of the youngest known open clusters,0.0,0,0
the rena song was dedicated to john petruccis wife rena sands petrucci,the renaissance was dedicated to john petrucci his wife renaissance petrucci,0.5,12,1
mark abshire soon joined as the bands original bassist,mark hampshire soon joined as the bands original bassist,0.1111111111111111,3,1
he was the centers first paid staff member,he was the centers first paid staff member,0.0,0,0
the urge to write short stories is rare,the urge to read short stories is rare,0.125,4,1
when are we leaving for the party,when are we leaving for the party,0.0,0,0
this battle between companies is defended on both sides,this battle between companies is defended on both sides,0.0,0,0
pecock was probably born in wales and was educated at oriel college oxford,peacock was probably born in wales and educated at oriel college oxford,0.15384615384615385,5,1
there he begins to discover things for himself and to rebel against his father,there he begins to discover things for himself and to rebel against his father,0.0,0,0
pet sitters monitor a number of different animals,pet sitters monitor a number of different animals,0.0,0,0
im going to guide you across the desert the alchemist said,im going to guide you across the desert the alchemist said,0.0,0,0
in this case an agency adds a service fee to the net price,in this case an agency adds a service fee to the net price,0.0,0,0
the formoso high school mascot was formoso falcons,the formoso high school mascot was formoso falcons,0.0,0,0
nabus cult spread to ancient egypt,nah booze cult spread to ancient egypt,0.3333333333333333,6,1
the design of the present flag incorporates the elements from the two former flags,the design of the present flag incorporates the elements from the two former flags,0.0,0,0
the baraboo river flows through the city,caribou river flows through the city,0.2857142857142857,7,1
generally the institute opposes tax increases such as hawaiis general excise tax,generally the institute proposes tax increases such as hawaiis general excise tax,0.08333333333333333,3,1
smoke poured out of every crack,smoke poured out of every crack,0.0,0,0
lets go hiking across france,lets go hiking across france,0.0,0,0
most acetic acid is prepared by this method,most acetic acid is prepared by this method,0.0,0,0
more public commissions followed including the statue of james larkin on dublins oconnell street,more public commissions followed including the statue of james larkin on dublins oconnell street,0.0,0,0
a comet came within miles of the earth it almost obliterated the moon,a comment came within miles of the earth its almost obliterated the moon,0.15384615384615385,3,1
burley is a residential area,burleigh is a residential area,0.2,3,1
investigations performed by the police could find no explanation for the phenomenon,investigations performed by the police could find no explanation for the phenomenon,0.0,0,0
darling could you grab me some throat candy down at the local chemist,darling could you grab me some throat candy down at the local chemist,0.0,0,0
why doesnt he do it why isnt he doing it,why doesnt he do it why isnt he doing it,0.0,0,0
acute uric acid nephropathy is associated with little or no urine output,acute uric acid nephew apathy is associated with little or no urine output,0.16666666666666666,4,1
i learnt so much from them and made some great friends,i learned so much from them and made some great friends,0.09090909090909091,2,1
actions of the president must be approved by the commission,actions of the president must be approved by the commission,0.0,0,0
bodhi means awakening or enlightenment,body means awakening or enlightenment,0.2,2,1
for passing the general bridge you had to pay,the general breed you need to pay,0.4444444444444444,19,1
did you really think it through,did you really think it through,0.0,0,0
beach parking is subject to sauvie island wildlife area parking permits,beach parking is subject to solve the island wildlife area parking permits,0.18181818181818182,6,1
is that a translation or merely a transliteration,is that a translation or merely a transliteration,0.0,0,0
the c framework qt is pronounced like cute,the c plus plus framework cutie is pronounced like cute,0.375,14,1
godzilla smashes a tower that has a selfdestruct button that makes the island unstable,godzilla smash is a tower that has a self destruct button that makes the island unstable,0.2857142857142857,3,1
it is no use crying over spilt milk,yeah its no use crying over spilt milk,0.25,5,1
neron offers as he has to many supervillains before to augment shades power,near and offers as he has too many super villains before to augment shades power,0.38461538461538464,6,1
the second of nine children both of his parents were practicing catholics,the second of nine children both of his parents were practicing catholics,0.0,0,0
liturgically the church accepts the creeds of the evangelical lutheran church,mhm little magically the church accepts the creed of the evangelical lutheran church yeah,0.45454545454545453,16,1
it initially consisted of the county of northumberland excluding the township of monaghan south,it essentially consisted of the country of north and billing excluding the township of monogamy itself,0.5,25,1
this lamp is quite nice,this lamp is quite nice,0.0,0,0
more recently each of these groups tends to be treated as a separate subclass,more recently each of these groups tends to be treated as a separate subclass,0.0,0,0
a brown leather bag hung from its strap,brown is a bag and from its trap,0.625,13,1
artist vik muniz used skywriting for his cloud cloud project,artist fake mooneys use skywriting for his cloud cloud project,0.3,9,1
they were on the right track,they were on the right track,0.0,0,0
one particularly rigorous aspect of studio classes is the critique or review,one particularly rigorous aspect of studio classes is to critique or review,0.08333333333333333,2,1
i arose obediently and went down the beach,i arose obediently and went down the beach,0.0,0,0
this was later adapted by the army,this was later adopted by the army,0.14285714285714285,1,1
he was later expelled by the sarawak government due to failure to repay debt,he was later expelled by the sarah walk government due to failure to repay debt,0.14285714285714285,3,1
in quantum mechanics the fubinistudy metric is also known as the bures metric,the quantum mechanics the cube in each study metric is also known as the poorest metric,0.46153846153846156,16,1
there is no wheelchair access to the platform,there is no wheelchair access to the platform,0.0,0,0
i have no time to waste,i have no time to waste,0.0,0,0
these were sold through christian bookstores and related outlets,these were sold through christian bookstores and related outlets,0.0,0,0
get katherine at the bulletin on the phone,get catherine at the bulletin on the phone,0.125,1,1
injuryprone in college this continued as he sat out his rookie season,injury prone in college discontinued as he set out his rookie season,0.4166666666666667,5,1
did she solve the riddle all by herself,did she solve the riddle all by herself,0.0,0,0
the format would soon evolve to rhythmic oldies under program director rick thomas,the format would soon evolve to rhythmic all this under program director rick thomas,0.15384615384615385,6,1
policemen are investigating in this case,policemen are investigating in this case,0.0,0,0
the battle resulted in immense casualties one of whom was ras marye,the battle resulted in immense casualties one of whom was rosemary,0.16666666666666666,3,1
in the palatine anthology it is said that they established lyric song,and the politan anthology it is said that they established lyrics sunk,0.3333333333333333,9,1
among these movements was zionism as promoted by theodore herzl,among these movements with zionism as promoted by theodore hertzel,0.2,5,1
a deputy representative,a deputy representative,0.0,0,0
the general topography of the province is characterized by uplifted plantation surfaces,the general topography of the province is characterized by uplifted plantation services,0.08333333333333333,3,1
this is also a pragmatic view adopted by a number of scholars,this is also a pragmatic view adopted by a number of scholars,0.0,0,0
as well as at least four unnamed family plots,as well as at least four unnamed family plots,0.0,0,0
most broadcasts are only a few minutes to a few hours at a time,most broadcasts are only a few minutes to a few hours at a time,0.0,0,0
no roads were ever built and no earthworks or materials were ever bought,no roads were ever built and no earthworks or materials were ever bought,0.0,0,0
i dare say it will replied his friend dryly,identity it will reply to his friend dr lee,0.7777777777777778,14,1
in continental europe letters proved equally popular,in continental europe letters proved equally popular,0.0,0,0
a soundtrack was released by universal music group,a soundtrack was released by universal music group,0.0,0,0
hes a fanatic,hes a fanatic,0.0,0,0
that would be funny if he did,that would be funny if he did,0.0,0,0
whered you get it,where do you get it,0.5,2,1
fans of johnny mathis can thank mr livingston for all the time among others,fans of johnny mathis can thank mr livingston for all the time among others,0.0,0,0
i lost them last thursday,i lost the last thursday,0.2,1,1
the city inherits a very rich culture,the city inherits a very rich culture,0.0,0,0
dances are often accompanied by the contrabass or the guitar,dancers are often accompanied by the contra bass or the guitar,0.3,2,1
the integer arithmetic instructions use the integer operate instruction formats,the integer arithmetic instructions use the integer operate instruction formats,0.0,0,0
sliced cabanossi is also a popular pizza topping,sliced carbon ozzy is also a popular pizza topping,0.25,6,1
she lives the same life still,she lives the same life still,0.0,0,0
precipitation is well distributed throughout the year,precipitation is well distributed throughout the year,0.0,0,0
many of his outdoor nudes were painted there,many of his outdoor nudes were painted there,0.0,0,0
thats why i want you to continue toward your goal,thats why i want you to continue towards your goal,0.1,1,1
three armed tribesmen approached and asked what the boy and the alchemist were doing there,three armed tribesmen approached and asked what the boy and the alchemist were doing there,0.0,0,0
so how will we name all these hurricanes,so how will we name all these hurricanes,0.0,0,0
in the country of the blind the oneeyed man is king,in the country of the blind the one eyed man is king,0.18181818181818182,1,1
elsewhere the track was elevated  frequently over long distances  on timber pilings,elsewhere the track was elevated frequently over long distances on timber pilings,0.0,2,0
he carried two dead hawks over his shoulder,he carried two dead hawks over his shoulder,0.0,0,0
the progressive format did not last at that station,the progressive format did not last at that station,0.0,0,0
the district is centered on huntington beach,the district is centered on huntington beach,0.0,0,0
the economy of asakura is primarily based on agriculture,the economy of asakura is primarily based on agriculture,0.0,0,0
what is it dear,what does it do,0.5,6,1
did he recede from his position,did he received from his position,0.16666666666666666,3,1
a line that is decreasing has a negative rise,a line that is decreasing has a negative rise okay,0.1111111111111111,5,1
the character is usually depicted as an enemy of the xmen,the character is usually depicted as an enemy of the x men,0.18181818181818182,1,1
im sorry its impossible,im sorry its impossible,0.0,0,0
there aint any more,there aint any more,0.0,0,0
gran canaria has roads encircling the whole island and extending into the mountain areas,grand canaria has road encircling the whole island and extending into the mountain areas,0.14285714285714285,2,1
the imperial army imposed strict censorship,the imperial army imposed strict censorship,0.0,0,0
its all about dates,its all about dates,0.0,0,0
my stupor can scarcely have lasted beyond a few seconds,my stupor can scarcely have lasted beyond a few seconds,0.0,0,0
the chair lift took them up the mountain,the chairlift took them up the mountain,0.25,1,1
gordon no longer mentions bootlaces and the two engines soon talk about trucks,gordon no longer mentions boot laces and the two engines soon talk about trucks,0.15384615384615385,1,1
they say its a fake,they say its a fake,0.0,0,0
agriculture is the main economic activity,agriculture is the main economic activity,0.0,0,0
where did you find that apple,where did you find that apple,0.0,0,0
you will bring these persons before me this afternoon,you will bring these persons performing this afternoon,0.2222222222222222,6,1
im literally a flying pony,im literally a flying pony,0.0,0,0
a symphony,a symphony,0.0,0,0
the northern boundary of the parish is marked by the river went,the northern boundary of the parish is marked by the river want,0.08333333333333333,1,1
these were suitable for engaging fast torpedo boats,these were suitable for engaging fast torpedo boats,0.0,0,0
the capital of the present date nation state of akyem bosome is akyem swedru,the capital of the present date nation state of a key um bozo may is a key um swear drew mhm,0.7857142857142857,21,1
what would you say about that,mhm what would you say about that,0.16666666666666666,4,1
the thaw came early and freed the stream,the thal came early and freed the stream,0.125,1,1
other writers included w h boulton melva purkis and harry whittaker among many others,other writers included wh bolton melvin purpose and harry whitaker among many others,0.42857142857142855,8,1
part of this was also attributed to a downturn in the telecommunications sector,part of this was also attributed to a downturn in the telecommunications sector,0.0,0,0
its editorinchief is mohamed a f noor,its editor in chief is mohammed a f north,0.7142857142857143,6,1
foxes are uncommon where im from,foxes are uncommon where im from,0.0,0,0
it was there that she met her fellow student henry moore,it was there that she met her fellow student henry moore,0.0,0,0
and the alchemist understood that the boys heart had returned to the soul of the world,and the alchemists understood that the boys heart had returned to the soul of the world,0.0625,1,1
dont you think thats being rather immodest the lawyer replied,dont you think thats being rather modest the lawyer replied,0.1,2,1
he developed several improvements in railroad signalling system that increased railway safety,he developed several improvements in railroad signaling system that increased railway safety,0.08333333333333333,1,1
some of the restaurants continued to be privately owned by aoki,some of the restaurants continue to be privately owned by okay,0.18181818181818182,4,1
although oil has been discovered near fannett the towns population has remained small,although oil has been discovered near fanis the towns population has remained small,0.07692307692307693,4,1
aldosterone is largely responsible for the longterm regulation of blood pressure,al dust alone is largely responsible for the long term regulation of blood pressure,0.45454545454545453,6,1
it was not clear who had the right of way since the traffic lights were off,it was not clear who had the right of way since the traffic lights were off,0.0,0,0
so are you planning to order a taxi,so are you planning to order a taxi,0.0,0,0
pete bodenheimer and slava zatchuny also contributed to set development,pete bodenheimer and slavas adjani also contributed to set development,0.2,7,1
there are many spoons,there are many spoons,0.0,0,0
ruse was named after james ruse known as australias first farmer,ruse was named after james ruse known as australias 1st farmer,0.09090909090909091,3,1
woman in white sweater holding a drink talking to man in jacket,mm woman in white sweater holding a drink talking to man in jacket,0.08333333333333333,3,1
im feeling a little tipsy,im feeling a little tipsy,0.0,0,0
then there was the campaign,then there was the campaign,0.0,0,0
the process of encrypting the hash value of a message is called digital signature,the process of encrypting the hash value of a message is called digital signature,0.0,0,0
sulzberger was married three times,sulzberger was married three times,0.0,0,0
tranquillity is the first duty of citizens,tranquility is the first duty of citizens,0.14285714285714285,1,1
peter finally surrenders when an american missile is pointed at him,peter finally surrenders when an american missiles pointed at him,0.18181818181818182,2,1
under construction is simply translated to super fun playground,mhm under construction is simply translated to superfund playground,0.3333333333333333,6,1
other topten hits include pineapple princess lets get together and more,other top 10 hits include pineapple princess lets get together and more,0.18181818181818182,3,1
the philadelphia eagles signed him out of grand valley state university,the philadelphia eagles signed him out of grand valley state university,0.0,0,0
college in bangalore india,college in bangalore india,0.0,0,0
however his filament had low resistance thus needing heavy copper wires to supply it,however his filament had low resistance thus needing heavy copper wires to supply it,0.0,0,0
the czech educator comenius based his work janua linguarum reserata on this text,the czech educator armenias based his work januvia in guar um misurata on this text,0.46153846153846156,11,1
all species of sifakas are threatened ranging from vulnerable to critically endangered,all species of safa qasar threatened ranging from vulnerable to critically endangered,0.16666666666666666,5,1
these products appeal to the masses and encourage conformity to the consumers,these products appeal to the masses and encourage conformity to the consumers,0.0,0,0
being a peninsula the sea has long been vital to gibraltars transport links,being a peninsula the sea has long been vital to gibraltars transport links,0.0,0,0
the city also hosts a number of national and international ice speedway events,right the city also hosts a number of national and international ice speedway events,0.07692307692307693,6,1
the founding members were alexander avoniel cliftonville distillery knock moyola park and oldpark,the founding members were alexander von l cliftonville distillery knock my eola park and old park,0.46153846153846156,7,1
whats it all about,whats it all about,0.0,0,0
why are we doing this again,why are we doing this again,0.0,0,0
japanese culture is incredibly addictive their buildings look amazing,japanese culture is incredibly addictive their buildings look amazing,0.0,0,0
thereby the matter has been deprived of practical significance or rendered purely academic,thereby the matter has been deprived of practical significance or rendered purely academic,0.0,0,0
mrs gardner said she thought he put several women together to create the character,mrs gardner said she thought he put several women together to create the character,0.0,0,0
the cake will be ready in seventeen minutes,the cake will be ready in 17 minutes,0.125,9,1
contributions gratefully received,contributions gratefully received,0.0,0,0
im a detective not an economist ,im a detective not a communist,0.3333333333333333,7,1
lucas also served as the associate artistic director,lucas also served as the associate artistic director,0.0,0,0
what do you associate with iceland,what do you associate with iceland,0.0,0,0
phil will you take a stance on this matter,phil will you take a stance on this matter,0.0,0,0
thats comparing apples and oranges,mhm thats comparing apples and oranges,0.2,4,1
what do you want here today the desert asked him,what do you want here today that is it asked him,0.3,6,1
the marsh will freeze when cold enough,the marshal freeze been cold enough,0.42857142857142855,6,1
however his feelings towards the record were largely negative leaving him depressed,however his feelings towards the record were largely negative leaving him depressed,0.0,0,0
at the first glance it was really not very exciting,at first glance it was really not very exciting,0.1,4,1
it allowed users to create public chat rooms send private messages and use emoticons,it allows users to create public chat rooms send private messages and use emoticons,0.07142857142857142,2,1
fuji district was dissolved as a result of this merger,fuji district was dissolved as a result of this merger okay,0.1,5,1
now his intuition was that he had been right in coming,now his intuition was that he had been right and coming,0.09090909090909091,2,1
shes absolutely cool about it,shes absolutely cool about it,0.0,0,0
try to make eye contact with a stranger on the bus and hold it for five seconds without speaking,try to make eye contact with a stranger on the bus and hold it for five seconds without speaking,0.0,0,0
bouchard served as opposition leader while godbout remained leader of the liberal party,bouchard served as opposition leader while god bought remained leader of the liberal party,0.15384615384615385,3,1
if you dont have the suit lay down any other card,if you dont have the suit lay down any other card mhm,0.09090909090909091,4,1
please make sure your recordings are not cut off,please make sure your recordings are not cut off,0.0,0,0
what else can i do,what else can i do,0.0,0,0
is anything the matter,is anything the matter,0.0,0,0
daqiqi was murdered by his favorite slave,that quickly was murdered by his favorite slave,0.2857142857142857,9,1
but theres a tribal war the boy reiterated,but there is a tribal or the boy reiterated,0.375,4,1
khemri was originally called nehekhara of which khemri was a major city,kim marie was surgery called nakata of which camry was a major city,0.4166666666666667,22,1
other groups include the christchurch archery club and new brighton long boarders club,other groups include the christchurch archery club and you brought it long borders club,0.3076923076923077,9,1
not to know how to sign ones name,not to know how to sign 1s name,0.125,3,1
in the late carboniferous tropical rainforests lay over the equator of euramerica,in the late carboniferous tropical rainforests lay over the equator of your america,0.16666666666666666,3,1
how do you know it,how do you know it,0.0,0,0
a wise man doesnt need advice and a fool wont take it,a wise man doesnt need advice and a full wont take it,0.08333333333333333,2,1
hey stop staring at my decollete,hey stop staring at my dick olivier,0.3333333333333333,7,1
agriculture was a very important achievement in human history,agriculture was a very important achievement in human history,0.0,0,0
the genus includes the important group of culinary herbs marjoram and oregano,the genus includes the important group of culinary herbs marjoram and oregon a,0.16666666666666666,3,1
the future has never been so bright than today,the future has never been so bright then today,0.1111111111111111,1,1
you must understand that love never keeps a man from pursuing his destiny,you must understand that love never keeps a man from pursuing his destiny,0.0,0,0
do you notice the flickering of the neon lights,do you notice the flickering of the neon lights,0.0,0,0
as the flag unfurled they all hollered like wild beasts,as the flag unfurled they all heart like wild beasts,0.1,6,1
and what is that,and what is that,0.0,0,0
global warming has occurred rapidly over the course of the past halfcentury,global warming has occurred rapidly over the course of the past half century,0.16666666666666666,1,1
there is a thin line between love and hate,there is a thin line between love and hate,0.0,0,0
hunger is good mustard  the best sauce,yeah hunger is good mustard the best source,0.2857142857142857,8,1
as they watched the waves crashing into each other alice thought of home,as they watched the waves crashing into each other alice thought of home yeah,0.07692307692307693,5,1
amy was the daughter of the vicar of saint stephens church spring street hull,yeah amy was the daughter of the figure of st stephens church spring street hull yeah,0.2857142857142857,17,1
a pod is what peas always grow in,the pod is what peas always grow in,0.125,3,1
this coat is furlined,this coat is fur lined,0.5,1,1
how old are you,how old are you,0.0,0,0
mono has released nine studio albums,mono has released nine studio albums,0.0,0,0
grime rust and residual particles polluted the air,grime rust and residual particles polluted the air,0.0,0,0
anton a santa fe railroad executive,yeah anton a santa fe railroad executive,0.16666666666666666,5,1
do you understand what it means,do you understand what it means,0.0,0,0
i retrieved the crop with a pallet jack,i retrieved the crop with a pallet jack,0.0,0,0
traditional corps drum majors are effective showmen who command the corps in all venues,traditional cause drum majors are effective showman who command the cause and all venues,0.2857142857142857,11,1
the word aurinko means the sun in finnish,the word al rinker means the sun and finish yeah,0.625,12,1
silence gives consent,silence gives consent,0.0,0,0
i thought wed already agreed that we couldnt risk that information falling into his hands,i thought wed already agreed that we couldnt risk that information falling into his hands,0.0,0,0
i think that is all,i think that is all,0.0,0,0
